day,RVC0232-label,RVC0232-f1,RVC0232-f2,RVC0232-f3,RVC0232-f4,RVC0232-f5
2010-01-01,0,,,,,
2010-01-04,0,0.3326388888888889,0.7958333333333333,,,
2010-01-05,0,0.3340277777777777,0.7888888888888889,,,
2010-01-06,0,0.3388888888888889,0.7979166666666667,,,
2010-01-07,0,0.3395833333333333,0.7902777777777777,,,
2010-01-08,0,0.3333333333333333,0.8013888888888889,,,
2010-01-11,0,0.325,0.7916666666666666,,,
2010-01-12,0,0.3263888888888889,0.7979166666666667,,,
2010-01-13,0,0.3402777777777778,0.7916666666666666,,,
2010-01-14,0,0.33125,0.7944444444444444,,,
2010-01-15,0,0.3368055555555556,0.7909722222222222,,,
2010-01-18,0,0.3319444444444444,0.79375,,,
2010-01-19,0,0.3270833333333333,0.7979166666666667,,,
2010-01-20,0,0.3298611111111111,0.7902777777777777,,,
2010-01-21,0,0.3354166666666666,0.7854166666666667,,,
2010-01-22,0,0.33125,0.7923611111111111,,,
2010-01-25,0,0.3243055555555555,0.7916666666666666,,,
2010-01-26,0,0.3347222222222222,0.7902777777777777,,,
2010-01-27,0,0.3229166666666667,0.8013888888888889,,,
2010-01-28,0,0.3368055555555556,0.7840277777777778,,,
2010-01-29,0,0.3388888888888889,0.7861111111111111,,,
2010-02-01,0,0.3291666666666666,0.7854166666666667,,,
2010-02-02,0,0.3361111111111111,0.7881944444444444,,,
2010-02-03,0,0.3395833333333333,0.7854166666666667,,,
2010-02-04,0,0.3347222222222222,0.7868055555555555,,,
2010-02-05,0,0.3333333333333333,0.7958333333333333,,,
2010-02-08,0,0.3333333333333333,0.7861111111111111,,,
2010-02-09,0,0.3381944444444444,0.7861111111111111,,,
2010-02-10,0,0.3409722222222222,0.7875,,,
2010-02-11,0,0.3388888888888889,0.7840277777777778,,,
2010-02-12,0,0.3409722222222222,0.7902777777777777,,,
2010-02-15,0,0.33125,0.7930555555555555,,,
2010-02-16,0,0.3354166666666666,0.7868055555555555,,,
2010-02-17,0,0.3319444444444444,0.8020833333333334,,,
2010-02-18,0,0.3270833333333333,0.7951388888888888,,,
2010-02-19,0,0.3277777777777778,0.8013888888888889,,,
2010-02-22,0,0.3263888888888889,0.7979166666666667,,,
2010-02-23,0,0.3291666666666666,0.7861111111111111,,,
2010-02-24,0,0.3381944444444444,0.7902777777777777,,,
2010-02-25,0,0.3388888888888889,0.7875,,,
2010-02-26,0,0.3229166666666667,0.8013888888888889,,,
2010-03-01,0,0.3319444444444444,0.7923611111111111,,,
2010-03-02,0,0.3402777777777778,0.7895833333333333,,,
2010-03-03,0,0.3368055555555556,0.7881944444444444,,,
2010-03-04,0,0.3263888888888889,0.8020833333333334,,,
2010-03-05,0,0.3402777777777778,0.7888888888888889,,,
2010-03-08,0,0.3354166666666666,0.7868055555555555,,,
2010-03-09,0,0.3319444444444444,0.8013888888888889,,,
2010-03-10,0,0.3284722222222222,0.7916666666666666,,,
2010-03-11,0,0.3326388888888889,0.7972222222222223,,,
2010-03-12,0,0.3291666666666666,0.7972222222222223,,,
2010-03-15,0,0.3298611111111111,0.7951388888888888,,,
2010-03-16,0,0.3340277777777777,0.7875,,,
2010-03-17,0,0.3381944444444444,0.7986111111111112,,,
2010-03-18,0,0.3298611111111111,0.7923611111111111,,,
2010-03-19,0,0.3340277777777777,0.8013888888888889,,,
2010-03-22,0,0.3298611111111111,0.7979166666666667,,,
2010-03-23,0,0.3277777777777778,0.7930555555555555,,,
2010-03-24,0,0.3319444444444444,0.7944444444444444,,,
2010-03-25,0,0.3368055555555556,0.7847222222222222,,,
2010-03-26,0,0.3298611111111111,0.8013888888888889,,,
2010-03-29,0,0.3319444444444444,0.7923611111111111,,,
2010-03-30,0,0.3409722222222222,0.7847222222222222,,,
2010-03-31,0,0.3375,0.7944444444444444,,,
2010-04-01,0,0.3263888888888889,0.7944444444444444,,,
2010-04-02,0,,,,,
2010-04-05,0,0.3333333333333333,0.7944444444444444,,,
2010-04-06,0,0.3229166666666667,0.79375,,,
2010-04-07,0,0.3333333333333333,0.7979166666666667,,,
2010-04-08,0,0.3333333333333333,0.7854166666666667,,,
2010-04-09,0,0.3395833333333333,0.7909722222222222,,,
2010-04-12,0,0.3298611111111111,0.8013888888888889,,,
2010-04-13,0,0.3243055555555555,0.7965277777777777,,,
2010-04-14,0,0.3305555555555555,0.7930555555555555,,,
2010-04-15,0,0.3368055555555556,0.7861111111111111,,,
2010-04-16,0,0.3326388888888889,0.8006944444444445,,,
2010-04-19,0,0.3263888888888889,0.7930555555555555,,,
2010-04-20,0,0.3375,0.7861111111111111,,,
2010-04-21,0,0.3256944444444444,0.7951388888888888,,,
2010-04-22,0,0.3284722222222222,0.7930555555555555,,,
2010-04-23,0,0.3395833333333333,0.7909722222222222,,,
2010-04-26,0,0.3395833333333333,0.7916666666666666,,,
2010-04-27,0,0.3409722222222222,0.7916666666666666,,,
