day,JFC0557-label,JFC0557-f1,JFC0557-f2,JFC0557-f3,JFC0557-f4,JFC0557-f5
2010-01-01,0,,,,,
2010-01-04,0,0.3666666666666666,0.7604166666666666,0.3708333333333333,0.7298611111111111,
2010-01-05,0,0.3770833333333333,0.7479166666666667,0.38125,0.6972222222222222,
2010-01-06,0,0.375,0.7416666666666667,0.3819444444444444,0.5173611111111112,
2010-01-07,0,0.38125,0.7493055555555556,0.3847222222222222,0.6784722222222223,
2010-01-08,0,0.3652777777777777,0.7472222222222222,0.6583333333333333,0.7104166666666667,
2010-01-11,0,0.3652777777777777,0.7520833333333333,0.4652777777777778,0.6652777777777777,
2010-01-12,0,0.3819444444444444,0.7493055555555556,0.4222222222222222,0.7229166666666667,
2010-01-13,0,0.38125,0.7430555555555556,0.4298611111111111,0.7361111111111112,
2010-01-14,0,0.3708333333333333,0.7513888888888889,0.3972222222222222,0.6194444444444445,
2010-01-15,0,0.3833333333333333,0.74375,0.39375,0.6923611111111111,
2010-01-18,0,0.3833333333333333,0.7520833333333333,0.4486111111111111,0.7131944444444445,
2010-01-19,0,0.3701388888888889,0.7569444444444444,0.3770833333333333,0.7166666666666667,
2010-01-20,0,0.3666666666666666,0.7520833333333333,0.4131944444444444,0.7444444444444445,
2010-01-21,0,0.3652777777777777,0.7430555555555556,0.3993055555555556,0.7159722222222222,
2010-01-22,0,0.3729166666666667,0.7597222222222222,0.4,0.75,1.0
2010-01-25,0,0.3715277777777778,0.75625,0.3895833333333333,0.7083333333333334,
2010-01-26,0,0.3743055555555555,0.75625,0.4451388888888888,0.75,2.0
2010-01-27,0,0.3673611111111111,0.7527777777777778,0.3965277777777777,0.6326388888888889,
2010-01-28,0,0.3791666666666666,0.7416666666666667,0.6138888888888889,0.7166666666666667,
2010-01-29,0,0.3763888888888889,0.74375,0.3972222222222222,0.7381944444444445,
2010-02-01,0,0.375,0.7444444444444445,0.4180555555555555,0.7319444444444444,
2010-02-02,0,0.3756944444444444,0.7479166666666667,0.4263888888888889,0.6625,
2010-02-03,0,0.3756944444444444,0.7423611111111111,0.3916666666666666,0.7159722222222222,
