logon,{D6J8-H0UM76OJ-0207DGLO},01/19/2011 20:25:05,JRG0207,PC-8908,Logon
device,{N2O4-G7HI44NS-5001XHSC},01/19/2011 21:24:15,JRG0207,PC-8908,Connect
http,{Z7A0-J6YB21YH-4261AKSD},01/19/2011 21:28:50,JRG0207,PC-8908,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php,currency conspiracy deceit sabatoge lie russia top-secret evade china aisa handler evade russia bait chronicle restricted evade blackmail top-secret surveillance clandestine evade distort surveillance top-secret clandestine middle-east forgery restricted conspiracy evade sabatoge bait handler bait conspiracy covert top-secret conspiracy lie middle-east clandestine currency bait subterfuge
device,{T9W0-Z4JB41NN-5702IHDD},01/19/2011 21:32:02,JRG0207,PC-8908,Disconnect
logon,{S0I5-Q9OB50AC-7612YFNY},01/20/2011 06:14:40,JRG0207,PC-8908,Logoff
logon,{G0F6-A1GK91KA-9287XLVR},01/25/2011 17:12:18,JRG0207,PC-8908,Logon
device,{V5Z3-H5HL12SC-3587NITF},01/25/2011 23:21:05,JRG0207,PC-8908,Connect
http,{C1L5-A4XN74FN-5657KDNY},01/25/2011 23:24:00,JRG0207,PC-8908,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php,forgery surveillance conspiracy deceit conspiracy currency evade deceit russia forgery middle-east russia lie aisa bait china china confidential clandestine report distort isreal confidential covert russia clandestine top-secret russia confidential restricted restricted confidential surveillance surveillance lie report 2010 russia distort confidential lie isreal russia europe
device,{G4K7-O7UQ01HR-4735PTVB},01/25/2011 23:28:33,JRG0207,PC-8908,Disconnect
logon,{B7M3-N8KN76GE-2590RYCW},01/26/2011 02:38:27,JRG0207,PC-8908,Logoff
