index,date_index,user_index,date,label,f1,f2,f3,f4,f5,g1,g2
126,0,BNR0965,4/01/2010 0:00,0,0.295138889,0.680555556,0,0,0,-0.87685436,-0.538007975
212,0,COM0321,4/01/2010 0:00,0,0.320833333,0.663888889,0,0,0,-0.715564609,-0.671221375
319,0,ETR0428,4/01/2010 0:00,0,0.327777778,0.711111111,0,0,0,-0.054520126,-2.936322212
657,0,MJB0588,4/01/2010 0:00,0,0.34375,0.778472222,0,0,0,-0.743871093,-0.644872487
842,0,SBD0913,4/01/2010 0:00,0,0.298611111,0.684027778,0,0,0,-0.636342704,-0.753373802
1390,1,HCM0267,5/01/2010 0:00,0,0.3125,0.644444444,0.313888889,0.636111111,2,-0.309867471,-1.32254684
1823,1,RRA0938,5/01/2010 0:00,0,0.302777778,0.676388889,0,0,0,-0.234463632,-1.565397024
2677,2,MOS0047,6/01/2010 0:00,0,0.215972222,0.655555556,0.218055556,0.457638889,2,-1.325761914,-0.308702081
2728,2,NRO0768,6/01/2010 0:00,0,0.356944444,0.681944444,0,0,0,-0.322761804,-1.287884712
3452,3,IIW0249,7/01/2010 0:00,0,0.327777778,0.709027778,0.338888889,0.697222222,0,-0.130279362,-2.102506876
4199,4,CLB0774,8/01/2010 0:00,0,0.360416667,0.685416667,0.383333333,0.646527778,0,-0.322854161,-1.28764236
4415,4,HMM0108,8/01/2010 0:00,0,0.385416667,0.760416667,0.394444444,0.640277778,0,-1.388427973,-0.286971867
4620,4,LRR0148,8/01/2010 0:00,0,0.290972222,0.708333333,0.411111111,0.706944444,0,-0.287062675,-1.388154745
5696,5,NAH0503,11/01/2010 0:00,0,0.341666667,0.725,0,0,0,-1.310168982,-0.314401776
5987,5,YJF0532,11/01/2010 0:00,0,0.375,0.709027778,0,0,0,-0.760708869,-0.629862666
6125,6,BNG0237,12/01/2010 0:00,0,0.335416667,0.747916667,0,0,0,-1.628710508,-0.21838285
6264,6,DLH0029,12/01/2010 0:00,0,0.313888889,0.783333333,0,0,0,-0.022465842,-3.806968927
7023,7,AHD0848,13/01/2010 0:00,0,0.344444444,0.820138889,0.513888889,0.540277778,0,-0.096519664,-2.385880709
7462,7,ILJ0526,13/01/2010 0:00,0,0.375,0.708333333,0.447916667,0.584722222,0,-0.76087153,-0.629719973
7814,7,RKF0164,13/01/2010 0:00,0,0.304166667,0.675,0,0,0,-1.341566443,-0.303047299
8127,8,BQS0525,14/01/2010 0:00,0,0.376388889,0.710416667,0.483333333,0.6625,0,-0.760890007,-0.629703701
8271,8,DOP0562,14/01/2010 0:00,0,0.367361111,0.745138889,0,0,0,-0.854691148,-0.554106534
8406,8,HJA0018,14/01/2010 0:00,0,0.332638889,0.756944444,0,0,0,-0.178039685,-1.813448071
8752,8,OSH0655,14/01/2010 0:00,0,0.384027778,0.886805556,0,0,0,-0.936618328,-0.497499883
8829,8,RUM0880,14/01/2010 0:00,0,0.315277778,0.75,0.609027778,0.617361111,0,-0.09724699,-2.378731012
9312,9,ERH0449,15/01/2010 0:00,0,0.339583333,0.75,0,0,0,-0.030292047,-3.511976242
9655,9,MIL0255,15/01/2010 0:00,0,0.331944444,0.693055556,0,0,0,-0.095253631,-2.398460627
9662,9,MKP0861,15/01/2010 0:00,0,0.325,0.738888889,0,0,0,-0.097061262,-2.380551338
10140,10,BTS0011,18/01/2010 0:00,0,0.302083333,0.648611111,0,0,0,-0.028824152,-3.560920238
10189,10,CJK0200,18/01/2010 0:00,0,0.303472222,0.649305556,0,0,0,-0.040930439,-3.216275454
10343,10,FSB0399,18/01/2010 0:00,0,0.324305556,0.801388889,0,0,0,-1.054039001,-0.428519636
10767,10,PLH0715,18/01/2010 0:00,0,0.322916667,0.707638889,0,0,0,-0.658655167,-0.728871644
11092,11,BAM0611,19/01/2010 0:00,0,0.331944444,0.7125,0,0,0,-0.948068678,-0.490187764
11327,11,FEB0306,19/01/2010 0:00,0,0.367361111,0.751388889,0.661111111,0.688888889,0,-1.439220071,-0.270644873
11765,11,PKB0281,19/01/2010 0:00,0,0.384027778,0.768055556,0,0,0,-1.38824749,-0.287031889
12296,12,EHD0584,20/01/2010 0:00,0,0.347916667,0.778472222,0,0,0,-0.743871152,-0.644872308
12737,12,OHC0973,20/01/2010 0:00,0,0.3,0.684722222,0,0,0,-0.8768543,-0.538008034
